ONG,TÍTULO PROYECTO,TIPOLOGÍA,PAÍS,AÑO DE EJECUCIÓN,SUBVENCIÓN €
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Fortalecimientoydesarrollodeunsistemadeasistenciaprehospotalariayemergenciasmédicas(2ªfase),Cooperación al Desarrollo,Honduras,1996,"336.566,78"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Rehabilitaciónyequipamientodeuncentromaternoinfantil(Hospital)enLarache,Cooperación al Desarrollo,Marruecos,1996,"118.052,56"
NUEVOS CAMINOS. NOUS CAMINS,ProyectoparalapreparacióndepersonallocalcomoalbañilesenTurkana,Cooperación al Desarrollo,Kenia,1996,"19.951,99"
FUNDACION CANOVAS DEL CASTILLO,EscueladeHosteleríayalbergueestudiantoldelcentrointegralIifase,Cooperación al Desarrollo,Honduras,1996,"282.475,69"
FUNDVIDA. FUNDACION PARA LA DEFENSA DE LA VIDA,Atención a lisiados de guerra,Cooperación al Desarrollo,Nicaragua,1996,"6.022,14"
FUNDACIÓN JUAN CIUDAD,AprovechamientodelaenergíasolarparalareducciónenloscostesdelosserviciossanitariosdelaregióndeThies,Cooperación al Desarrollo,Senegal,1996,"78.131,57"
SODEPAZ. SOLIDARIDAD PARA EL DESARROLLO Y LA PAZ,Capacitaciónenoficiosnotradicionalesparamujeres,Cooperación al Desarrollo,El Salvador,1996,"29.398,51"
UNEFA. UNIÓN DE ESCUELAS FAMILIARES AGRARIAS,Apoyoainiciatuvasempresarialesparaexalumnosdecentrosdeformacióntécnicaempresarial,Cooperación al Desarrollo,Guatemala,1996,"22.357,83"
EN.PA.DE.ENTIDADPROMOTORADEDESARROLLO,"Paralaimplementaciónde""CuideWawa""oguaderíainfantil",Cooperación al Desarrollo,Perú,1996,"3.695,94"
SOLIDARIDAD CON AMÉRICA LATINA,Capacitación eneducación sanitariae instalación desistema sanitarioadomicilio,Cooperación al Desarrollo,Bolivia,1996,"82.846,99"
FRANCISCANOS DE MARÍA,DispensarioPaz,Cooperación al Desarrollo,República Dominicana,1996,"40.568,32"
CEFAT,Formaciónyasistencia técnica enecoturismo para comunidades locales de Iberoamérica,Cooperación al Desarrollo,Bolivia/Brasil/Colombia,1996,"71.520,44"
AMIGOSMOV.CUARTOMUNDO,CentrodecapacitaciónproducciónycomercializacióndecerámicaartesanalCuzco,Cooperación al Desarrollo,Perú,1996,"18.471,51"
FEDERACIÓNDEMUJERESPROGRESISTAS,Argeliaderechoalainfancia,Cooperación al Desarrollo,Argelia,1996,"91.430,47"
CONGREGACIÓN RELIGIOSA PUREZA DE MARÍA SANTÍSIMA CURIAL GENERAL,Educarenamujereseducarunpueblo,Cooperación al Desarrollo,Zaire,1996,"274.963,04"
CONGREGACIÓNRELIGIOSAPUREZADEMARÍASANTÍSIMACURIALGENERAL,Luchacontralaenfermedad.HospitalesdelasmisionesdelapurezaenelZaire:KafakumbayKanzenze,Cooperación al Desarrollo,Zaire,1996,"22.347,13"
ASOCIACIÓNPARALASOLIDARIDAD,MicroempresatejidosdepuntosSanCarlos,Cooperación al Desarrollo,Perú,1996,"4.321,32"
LIGAESPAÑOLADELAEDUCACIONYLACULTURAPOPULAR,Educación dela comunidad para el desarrollo,Cooperación al Desarrollo,Bolivia,1996,"50.556,39"
SHAREDWORLD,ConstruccióndelcentrodeformaciónintegralfamiliarycomunitarioparalaciudaddePiura,Cooperación al Desarrollo,Perú,1996,"84.968,09"
HARENALDE-ONGAgustiniana,GranjaeducativaygranjassatélitesautosostenibleseneláreadeChepo-LasMinas,Cooperación al Desarrollo,Panamá,1996,"287.452,69"
WATU ACCIÓN INDÍGENA,Implementaciónydotacióndebibliotecasindígenas,Cooperación al Desarrollo,Ecuador,1996,"9.115,70"
ASOCIACIÓN DAMAS SALESIANAS,Fortalecimientoinstitucionaldeldepartementodepromocióndemicroempresas,Cooperación al Desarrollo,Venezuela,1996,"96.644,44"
SED,ConstrucciónyequipamientodeunaulatallerdecerámicaparaniñosdiscapacitadosenQuito,Cooperación al Desarrollo,Ecuador,1996,"18.030,36"
CIA.HIJASDELACARIDADS.VIC.,"Ampliacióndelafacultaddeenfermería:comedor,bibliotecayAaulaMagnaCochabamba",Cooperación al Desarrollo,Bolivia,1996,"50.004,21"
CIA.HIJASDELACARIDADS.VIC.,Comunicación con las aldeas barra del Patuca,Cooperación al Desarrollo,Centroamérica,1996,"2.404,05"
JUVENTUDESMARIAN.VICENCIA.,Amigosparasiempre,Cooperación al Desarrollo,Honduras,1996,"9.015,18"
MÉDICOS DEL MUNDO,Atenciónyorientaciónsocialysanitariaainmigrantessinrecursos,Sensibilización / Educación para el Desarrollo,Madrid,1996,"38.257,43"
MERCEDARIOS PROVINCIA DE CASTILLA COMUNIDAD,Casaderefugiadoseinmigrantesmenoresnoacompañados,Sensibilización / Educación para el Desarrollo,Madrid,1996,"18.030,36"
COLEGIO M.INMACULADA DE MADRID- FRANCISCANAS DE LA PURÍSIMA CONCEPCIÓN,"Mejorasocio-educativoparahijosdeinmigrantes,acogidosenelcentro-hogarMªInmaculada",Sensibilización / Educación para el Desarrollo,Madrid,1996,"61.896,65"
APROSERS-ASOCIACIÓN DE PROMOCIÓN DE SERVICIOS SOCIALES,"Formaciónyacompañamientolegalysocialparainmigrantes,familiasprofesionalesquetrabajanconpersonasdeotrasculturas",Sensibilización / Educación para el Desarrollo,Madrid,1996,"146.208,21"
APRAMP PARA LA ATENCIÓN PREVENCIÓN Y REINSERCION MUJER PROSTITUIDA,Unidadmóvilafavordeujeresinmigrantesqueejercenlaprostitución,Sensibilización / Educación para el Desarrollo,Madrid,1996,"47.376,82"
Asoc. Sol. Univ. Internacional,IIIproyectodeintegraciónconinmigrantespolacos,Sensibilización / Educación para el Desarrollo,Madrid,1996,"3.029,10"
ACISJF-FEDERACIÓN CATÓLICA ESPAÑOLA SERVICIOS A LA JUVENTUD FEMENINA,S:O:E:mujeresfóvenesinmigrantesprocedentesdeGuineaEcuatorialypaísesIberoamericanos,Sensibilización / Educación para el Desarrollo,Madrid,1996,"30.392,14"
KARIBU,Acogidahumanitariaeintegracióndeinmigrantesyrefugiados,Sensibilización / Educación para el Desarrollo,Madrid,1996,"39.756,95"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Apoyoalaintegraciónsocialdeinmigraantesllegadosviareagrupaciónfamiliar,Sensibilización / Educación para el Desarrollo,Madrid,1996,"44.537,04"
ADSIS TIERRA,PromocióndelosinmigranteseneldistritodeSalamanca,Sensibilización / Educación para el Desarrollo,Madrid,1996,"7.350,38"
FUNDACIÓNROSALIARENDU,PrevencióneintegracióndefamiliasinmigrantesyotrasenriesgodeexclusiónsocialenlazonacentrodeMadrid,Sensibilización / Educación para el Desarrollo,Madrid,1996,"351.592,08"
CASAGENERALICIADAMASAPOSTÓLICASDELSAGRADOCORAZÓNDEJESÚSMADRID,Ayudaamujeresensituacióndeespecialdificultadsocialyeconómica,Sensibilización / Educación para el Desarrollo,Madrid,1996,"54.091,09"
OblatasdelSantísimoRedentor.Rel.ZaragozaC.P.,"Residenciaparamujeresinmigrantesembarazadasyconhijosmenoresdeunaño,quecarecenderecursosoeconómicos,familiaresysociales",Sensibilización / Educación para el Desarrollo,Madrid,1996,"21.035,42"
PARROQUIADESANILDEFONSO,EOF-CuartoMundo,Sensibilización / Educación para el Desarrollo,Madrid,1996,"47.760,08"
CENTRODEANIMACIÓNSOCIALVALDEPERALES,ProgramadecoperaciónfamiliarconcomunidadesétnicasydesfavorecidasdelBarriodelPilar,Sensibilización / Educación para el Desarrollo,Madrid,1996,"36.748,89"
AJEMAAsoc.AntiguasAlumnasJesúsMª,ProyectointerculturalAjema,Sensibilización / Educación para el Desarrollo,Madrid,1996,"3.005,06"
CANDELITA,Integraciónlaboraldemujeresinmigrantesyserviciodeenvejecerencasa,Sensibilización / Educación para el Desarrollo,Madrid,1996,"111.728,15"
H.CARIDADS.VICENTEPAULS.LMARILLACCOMEDORBENÉFICOM.INMACULADA,Creacióndepisosdeacogidayserviciodecomedorparapersonasexcluidassocialmenteenlsituacióndepobrezaseverayabsoluta,Sensibilización / Educación para el Desarrollo,Madrid,1996,"163.363,25"
CentroSocialSanRafael,Acogidainformaciónasesoramientoydocumentación,Sensibilización / Educación para el Desarrollo,Madrid,1996,"10.592,84"
Área de Formación,Formaciónocupacionalparaelempleo,Sensibilización / Educación para el Desarrollo,Madrid,1996,"26.820,17"
MÉDICOS SIN FRONTERAS,Emergencia con motivo de las inundaciones de China,Ayuda Humanitaria,CHINA,1996,"13.823,28"
ONG IBERO,Artículos de primera necesidad destinados al Hospital Monumento de la Salud del Niño en Varsovia,Ayuda Humanitaria,POLONIA,1996,"5.859,87"
MISIÓN CATHOLIQUE BOITE POSTALE EN MALI,"Compra y envío de un vehículo ""todo terreno"" para facilitar el desplazamiento a los poblados",Ayuda Humanitaria,MALI,1996,"24.551,34"
ASOCIACIONPORLAPAZYELDESARROLLO,MejoradelascondicionesdevidaenlascomunidadesruralesdeCochabamba,Cooperación al Desarrollo,Bolivia,1997,"112.342,22"
MISIÓNAMERICA,Centrodeformaciónintegralycomunitario,Cooperación al Desarrollo,Perú,1997,"132.222,66"
ISCOD-INSTITUTOSINDICALDECOOPERACIÓNALDESARROLLO,ApoyoalagestióndemicroempresasdeempresasdeorganizacionesenlosconosnorteysurdeLima,Cooperación al Desarrollo,Perú,1997,"53.775,56"
CENTRODEESTUDIOSYSOLIDARIDADCONAMÉRICALATINA(CESAL),Programadedesarrolloagropecuarioparcomunidadesandinasenextremapobreza,Cooperación al Desarrollo,Perú,1997,"408.435,87"
MEDICOS DEL MUNDO,RehabilitacióndelhospitalregionaldeSmara,Cooperación al Desarrollo,Magreb,1997,"296.969,62"
COOPERACIÓNSOCIAL,DesarrollointegraldelacomarcadeHatillo,Cooperación al Desarrollo,República Dominicana,1997,"239.311,02"
AMISTAD EUROPEA.PROYECTO SOLIDARIO (ONGD),ApoyoalaproduccióndecultivoshidroponicoscomoalternativadetrabajoenelasentamientohumanodeSanCarlos,Cooperación al Desarrollo,Perú,1997,"19.385,19"
FEDERACIÓN ESPAÑOLA DE RELIGIOSOS ENSEÑANZA .FERE,"Infraestructuras escolares del Centro de preescolar primaria ""San José Calasanz"" Ekobenam",Cooperación al Desarrollo,GuineaEcuatorial,1997,"50.521,08"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,Centro experimental y decapacitación Valle de Mala,Cooperación al Desarrollo,Perú,1997,"163.551,02"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,CentrodecapacitaciónfemeninoyjuvenilparalaformacióndemicroempresariosHyeri,Cooperación al Desarrollo,Kenia,1997,"178.485,89"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,FortalecimientodelaorganizaciónycapacitacióndemujeresatravésdeprogramasdecomunicaciónpopularenelConoSurdeLima,Cooperación al Desarrollo,Perú,1997,"130.584,00"
LUMENDEI-PRODEIN,"EquipamientodeuncentrodeeducaciónocupacionaldeautomociónparjóvenesQuechuas,Cuzqueños",Cooperación al Desarrollo,Perú,1997,"117.123,10"
FUNDACIONINTERED,BibliotecapopularPóveda/Waliña,Cooperación al Desarrollo,Bolivia,1997,"37.757,49"
FUNDACIÓNINTERMON-OXFROM,"Mejoraeducativayformativadelascomunidadescampesinasysuburbanas,atravésdelgrupoJuanXXIII",Cooperación al Desarrollo,Bolivia,1997,"588.991,86"
FUNDACIÓNCODESPA-FUTUROENMARCHA,Generaciónytransferenciadetecnologíasparalaexplotaciónganaderadecaprinos,Cooperación al Desarrollo,Perú,1997,"271.858,80"
FUNDACIÓNCODESPA-FUTUROENMARCHA,"Implementación delaboratorioclínico,sala departos ysala hospitalaria deatención alniño enel centro médico""SantaRosadeLima""",Cooperación al Desarrollo,Perú,1997,"64.807,18"
FUNDACIÓNCODESPA-FUTUROENMARCHA,Programaanualdeformaciónycapacitacióndemicroempresasypequeñosempresariosorientadohacialacompetitividaden10ciudadesmedia,Cooperación al Desarrollo,Colombia,1997,"72.752,52"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,"Proyectointegraldeconstruccióndeviviendaseinstalacionessanitarias,capacitaciónparalaconstrucciónyorganizaciónsocial",Cooperación al Desarrollo,Honduras,1997,"168.283,39"
IEPALA.INST.DEESTUDIOSPOLÍTICOSPARAAMÉRICALATINAYÁFRICA,ConstruccióndelcentroSanJuandeDiospararehabilitacióndecriancasyadultosdeficientesfísiscosemenatis,Cooperación al Desarrollo,Brasil,1997,"51.927,45"
F.PazySolidaridad,Desarrollolocalyfortalecimientocomunitarioparusoymanejointegraldeagua,Cooperación al Desarrollo,Guatemala,1997,"234.077,89"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,"ProgramadecapacitaciónTécnica,medioambientalynutricionaldirigidoamadresyniñosensituaciónextremapobreza,Cochabamba",Cooperación al Desarrollo,Bolivia,1997,"129.679,83"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,FortalecimeitnodeldesarrollocomunitariodelapoblaciónmarginadadeCapotillomediantelamejoradelsaneamientoambiental,Cooperación al Desarrollo,República Dominicana,1997,"187.158,63"
Prosalus,"Saneamientoambiental,capacitaciónyfomentodelempleoeneldistritodeSanMateodeHuanchor",Cooperación al Desarrollo,Perú,1997,"35.374,79"
JOVENES DEL TERCER MUNDO,"Albergueparhuerfanosytalleresparacapacitacióndejóvenesdebajosrecursoseconómicos,enAyacucho",Cooperación al Desarrollo,Perú,1997,"354.439,29"
VETERMON. VETERINARIOS SIN FRONTERAS,ReintroduccióndelosbueyesdetiroparalostrabajosagrícolasenelsucondadodeAnyara,Cooperación al Desarrollo,Uganda,1997,"141.119,07"
PAZ Y COOPERACION,Equipamiento de material diverso parala escuela12deoctubre,Cooperación al Desarrollo,Argelia,1997,"145.384,83"
COOPERACIÓNINTERNACIONAL,CentrodeformaciónyapoyoenKinshasa,Cooperación al Desarrollo,Zaire,1997,"143.040,88"
Pazy3er.Mundo,"ProyectodeapoyoparaeldesarrollointegraldelapoblaciónretornadadelacomunidaddeSantaMaríadelTzeja,IxcanQuiché",Cooperación al Desarrollo,Guatemala,1997,"62.397,79"
Pazy3er.Mundo,Fortalecimiento de la producción pecuaria en comunidades al Norte de Chalatenango departamento de Chalatenango,Cooperación al Desarrollo,El Salvador,1997,"81.621,63"
MADRESELVA,Modernizaciónyampliacióndelawsinstalacionesyequiposdelinstitutohondureñodeeducaciónporradio(Iher),Cooperación al Desarrollo,Honduras,1997,"335.959,47"
F.PadreArrupe,FormaciónintegralencienciaeingenieríaparaElSalvador.Edificiolaboratoriosnº3,Cooperación al Desarrollo,El Salvador,1997,"327.627,63"
AcsurLasSegovias,CreaciónyfortalecimientodeunidadesdedesarrolloruralencuatrocomunidadesdeldepartamentodefranciscoMorazan,Cooperación al Desarrollo,Honduras,1997,"297.824,00"
ENTRE CULTURAS - FE Y ALEGRIA,ProgramadeeducaciónruralenelámbitodeMalingas,Cooperación al Desarrollo,Perú,1997,"399.613,73"
ENTRE CULTURAS - FE Y ALEGRIA,"Talleresdemetalmecánicaenelcentroartesanal""Fraternidadyservicio""",Cooperación al Desarrollo,Ecuador,1997,"50.383,58"
SOLIDARIOS PARA EL DESARROLLO,Centro de rehabilitación de mujeres toxicómanas Pereira,Cooperación al Desarrollo,Colombia,1997,"48.394,28"
FUNDACION HUMANISMO Y DEMOCRACIA,"Construcción y equipamiento de""Casa de salud infantil""",Cooperación al Desarrollo,Colombia,1997,"335.244,55"
CIDEAL,"Educentro:unlugarparaaprender,recrear,inventarysermejores",Cooperación al Desarrollo,Perú,1997,"111.470,26"
CIDEAL,DesarrollohumanoyeconómicodelcolectivodemujeresdeCeibaChachagua,Cooperación al Desarrollo,Nicaragua,1997,"131.154,66"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",Asistenciaeinserciónlaboralparamadresjóvenes,Cooperación al Desarrollo,Colombia,1997,"42.599,74"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,rehabilitaciónyequipamientomédicodeuncentromaternoinfantil(hospital)enLarache,Cooperación al Desarrollo,Marruecos,1997,"144.197,83"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,MejoradelequipamientomédicodelhospitasoncológiconacionaldeCuba,Cooperación al Desarrollo,Cuba,1997,"136.589,03"
FUNDACION CANOVAS DEL CASTILLO,Escuela de hostelería de albergue estudiantil del centro integral Madrd-II Fase,Cooperación al Desarrollo,Honduras,1997,"126.445,70"
FUNDACION CANOVAS DEL CASTILLO,EquipamientoypuestaenmarchadelaescueladehosteleríayalbergueestudiantildelcentrointegralMadrid,Cooperación al Desarrollo,Honduras,1997,"140.301,18"
FUNDACIÓN JUAN CIUDAD,DesarrollodelasuludmentalylapsiquiatríainfantileneldepartamentodelaPaz,Cooperación al Desarrollo,Bolivia,1997,"284.128,47"
SODEPAZ. SOLIDARIDAD PARA EL DESARROLLO Y LA PAZ,Recogida de residuos solidos urbanos en la cuidad de Cardenas,Cooperación al Desarrollo,Cuba,1997,"225.379,54"
CONSEJO INTERHOSPITALARIO DE COOPERACION,MejoradelaredescolarenlalocalidaddeMotala,Cooperación al Desarrollo,Mozambique,1997,"59.818,61"
ARQUITECTOS SIN FRONTERAS-ASF-E,ConstrucciónyequipamientodeunCentrodeacogidaytalleresdeformación,Cooperación al Desarrollo,CostadeMarfil,1997,"38.344,57"
Amigos movimiento 4º Mundo,Lavanderías comunitarias con zona de encuentro,Cooperación al Desarrollo,Bolivia,1997,"21.835,50"
PurezadeMaríaSantísimaCurialGeneral.,Mejorarlacalidaddevidadelosenfermos,Cooperación al Desarrollo,Zaire,1997,"34.069,00"
PurezadeMaríaSantísimaCurialGeneral.,Acondicionamientodelocalesparainternado,Cooperación al Desarrollo,AfricaEcuatorial,1997,"14.409,49"
F.Prevcontradrog,MinicentralhidroelectricadelaComunidaddeQuico,Cooperación al Desarrollo,Perú,1997,"59.920,91"
MUNDO COMPARTIDO,Centro de formación y desarrollo integral  para el jóven y la mujer,Cooperación al Desarrollo,Perú,1997,"60.166,27"
DAMAS SALESIANAS,"Consolidación deuna red desalud primarioa alternativa en varios estados (Carabobo,Falcon,ZuliayTachira)",Cooperación al Desarrollo,Venezuela,1997,"187.675,93"
Cia.H.Caridad S.Vicente  de Paul,Centro parala promoción delamujer en Bouazi,Cooperación al Desarrollo,Congo,1997,"26.582,52"
ADRA,Granja industrial apicola Munaypata,Cooperación al Desarrollo,Perú,1997,"22.636,52"
ReligiosasRR.AA.,Adolescentesenriesgo,Cooperación al Desarrollo,Nicaragua,1997,"6.340,68"
AYUDA EN ACCIÓN,Ampliación ymejora dedospuestos desalud en loscaseriosde Batanes yla Matanza.,Cooperación al Desarrollo,Perú,1997,"27.076,20"
C.C Ntra Sña del Pilar.Parque Aluche,Deposito de abastecimiento yregulación de agua potable,Cooperación al Desarrollo,Perú,1997,"15.385,91"
IPADE,ApoyoydesarrollodelaapiculturadelaprovinciadeChefchaquen,Cooperación al Desarrollo,Marruecos,1997,"33.410,81"
FAD,Experimentaciónydesarrollodeprogramasdeprevenciónescolarenbarriosurbanos-marginalesdelaciudaddeQuito,Cooperación al Desarrollo,Ecuador,1997,"48.080,97"
Caritas Diocesanas Madrid,MiRancho,Cooperación al Desarrollo,Bolivia,1997,"27.259,78"
BOMBEROS UNIDOS SIN FRONTERAS,Cursos deformación y colaboración técnico-material,Cooperación al Desarrollo,Perú,1997,"59.851,69"
Acode/ Cánovas,Construcción deviviendas dignas paralacomunidad campesina de agua agraria,Cooperación al Desarrollo,Nicaragua,1997,"56.156,56"
PUEBLOS EN DESARROLLO (PUEDES),Centro de promoción social para la mujer,Cooperación al Desarrollo,Guatemala,1997,"47.057,33"
F.del Hombre,Centro comunitario de capacitación y formación del niño y la mujer,Cooperación al Desarrollo,Perú,1997,"48.080,97"
MÉDICOS DEL MUNDO,ProgramadeatenciónainmigrantessinrecursosdeMadrid:atenciónsociosanitariayeducaciónparalasaludyunidadmóvildeaten.Mujeres,Sensibilización / Educación para el Desarrollo,Madrid,1997,"56.340,73"
APROSERS-ASOCIACIÓN DE PROMOCIÓN DE SERVICIOS SOCIALES,Proyectointegradodeintervenciónconinmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1997,"122.808,41"
APRAMP PARA LA ATENCIÓN PREVENCIÓN Y REINSERCION MUJER PROSTITUIDA,UnidadmóvilafavordepersonasprostitutasqueejercenlaprostituciónenelMunicipiodeMadrid,Sensibilización / Educación para el Desarrollo,Madrid,1997,"70.799,39"
FUNDACIÓN IBEROAMERICANA EUROPA- CIPIE,Programa de información asesoramiento legal y orientación profesional para inmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1997,"31.727,73"
ACISJF-FEDERACIÓN CATÓLICA ESPAÑOLA SERVICIOS A LA JUVENTUD FEMENINA,"S.O.S.Mujeresjóvenesinmigrantesprincipalmenteiberoamericanas,paísesdelestedeEuropayEcuaguineanas",Sensibilización / Educación para el Desarrollo,Madrid,1997,"36.811,99"
KARIBU,Integraciónyayudahumanitaria,Sensibilización / Educación para el Desarrollo,Madrid,1997,"72.722,46"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Apoyoalaintegraciónsocialdeinmigrantesllegadosvíareagrupaciónfamiliar,Sensibilización / Educación para el Desarrollo,Madrid,1997,"44.537,04"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Piso-residenciaparamadresinmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1997,"18.657,12"
FUNDACIÓN ROSALIA RENDU,Prevención e integración de inmigrantes yotrasfamilias enriesgo de exclusión social en el distrito de centro,Sensibilización / Educación para el Desarrollo,Madrid,1997,"367.368,65"
PARROQUIADESANILDEFONSO,E.O.F.QuartoMundo,Sensibilización / Educación para el Desarrollo,Madrid,1997,"47.214,36"
CENTRODEANIMACIÓNSOCIALVALDEPERALES,ProgramadeapoyosocialafamiliasdeinmigrantesycomunidadesetnicasydesfavorecidaseneldistritodeFuencarral-ElPardo,Sensibilización / Educación para el Desarrollo,Madrid,1997,"37.503,16"
CANDELITA,"Integraciónsociolaboraldemujeresinmigrantesenelprogramadomiciliario""Envejecerencasa""",Sensibilización / Educación para el Desarrollo,Madrid,1997,"114.965,20"
H.CARIDADS.VICENTEPAULS.LMARILLACCOMEDORBENÉFICOM.INMACULADA,Creacióndepisosacogidaycomedorparapersonasexcluidassocialmenteensituacióndepobrezaseverayabsoluta,Sensibilización / Educación para el Desarrollo,Madrid,1997,"162.273,27"
H.CARIDADS.VICENTEPAULS.LMARILLACCOMEDORBENÉFICOM.INMACULADA,Centrodedíaparapersonasinmigrantesy/oconriesgodedeteriorosocialycentrodeacogidaparaenfermospsiquicos,Sensibilización / Educación para el Desarrollo,Madrid,1997,"132.222,66"
CentroSocialSanRafael,Integraciónydocumentación,Sensibilización / Educación para el Desarrollo,Madrid,1997,"16.828,34"
Area de Formación,Formaciónocupacionalparaelempleo1997,Sensibilización / Educación para el Desarrollo,Madrid,1997,"28.698,33"
